Bacteria1,Bacteria2,Distance
Enterococcus faecium,M. abscessus,0.2111
Enterococcus faecium,Staphylococcus intermedius,0.1766
Enterococcus faecium,Streptococcus constellatus,0.1615
Enterococcus faecium,Streptococcus anginosus,0.1659
Enterococcus faecium,Streptobacillus moniliformis,0.2358
Enterococcus faecium,Spirillum minus,0.2358
Enterococcus faecium,Capnocytophaga canimorsus,0.2205
Enterococcus faecium,Pasteurella multocida,0.2707
Enterococcus faecium,Ureaplasma urealyticum,0.2524
Enterococcus faecium,Cutibacterium acnes,0.2261
Enterococcus faecium,Listeria monocytogenes,0.1647
Enterococcus faecium,Stenotrophomonas maltophilia,0.2565
Enterococcus faecium,Enterobacter aerogenes,0.2627
Enterococcus faecium,E. cloacae,0.2584
Enterococcus faecium,Acinetobacter baumannii,0.2516
Enterococcus faecium,Streptococcus hemolyticus,0.136
Enterococcus faecium,Proteus mirabilis,0.2503
Enterococcus faecium,Burkholderia pseudomallei,0.2313
Enterococcus faecium,C. difficile,0.1918
Enterococcus faecium,Staphylococcus epidermidis,0.171
Enterococcus faecium,Pseudomonas aeruginosa,0.2472
Enterococcus faecium,Streptococcus agalactiae,0.1565
Enterococcus faecium,Morganella morganii,0.2515
Enterococcus faecium,Kingella kingae,0.2511
Enterococcus faecium,Eikenella corrodens,0.2539
Enterococcus faecium,Cardiobacterium hominis,0.2387
Enterococcus faecium,Aggregatibacter actinomycetemcomitans,0.2633
Enterococcus faecium,Haemophilus parainfluenzae,0.252
Enterococcus faecium,Enterococcus faecalis,0.167
Enterococcus faecium,G Streptococcus,0.1574
Enterococcus faecium,Salmonella enterica,0.2461
Enterococcus faecium,Shigella dysenteriae,0.2605
Enterococcus faecium,Staphylococcus lugdunensis,0.1571
Enterococcus faecium,Staphylococcus saprophyticus,0.1509
Enterococcus faecium,Chlamydophila pneumoniae,0.2753
Enterococcus faecium,Mycoplasma pneumoniae,0.2609
Enterococcus faecium,Gardnerella vaginalis,0.2401
Enterococcus faecium,Campylobacter spp,0.26
Enterococcus faecium,Legionella pneumophila,0.2516
Enterococcus faecium,Clostridium septicum,0.189
Enterococcus faecium,Clostridium perfringens,0.1892
Enterococcus faecium,C. trachomatis,0.265
Enterococcus faecium,Prevotella bivia,0.2415
Enterococcus faecium,Streptococcus pyogenes,0.136
Enterococcus faecium,Neisseria meningitidis,0.2566
Enterococcus faecium,S. ParatyphiA,0.2461
Enterococcus faecium,S.Typhi,0.2461
Enterococcus faecium,Klebsiella pneumoniae,0.2586
Enterococcus faecium,E. coli,0.2615
Enterococcus faecium,Neisseria gonorrhoeae,0.2404
Enterococcus faecium,Staphylococcus aureus,0.1492
Enterococcus faecium,Brucella melitensis,0.2245
Enterococcus faecium,Brucella abortus,0.2245
Enterococcus faecium,Moraxella catarrhalis,0.2424
Enterococcus faecium,Haemophilus influenzae,0.2571
Enterococcus faecium,Streptococcus pneumoniae,0.1713
Enterococcus faecium,V. cholerae,0.2441
Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,0
Stenotrophomonas maltophilia,Enterobacter agglomerans,0.1925
Stenotrophomonas maltophilia,Enterobacter gergoviae,0.2298
Stenotrophomonas maltophilia,Mycobacterium fortuitum,0.2661
Stenotrophomonas maltophilia,M. abscessus,0.2725
Stenotrophomonas maltophilia,Staphylococcus intermedius,0.2439
Stenotrophomonas maltophilia,Streptococcus constellatus,0.2628
Stenotrophomonas maltophilia,Streptococcus anginosus,0.2621
Stenotrophomonas maltophilia,Streptobacillus moniliformis,0.2622
Stenotrophomonas maltophilia,Spirillum minus,0.2622
Stenotrophomonas maltophilia,Capnocytophaga canimorsus,0.2399
Stenotrophomonas maltophilia,Pasteurella multocida,0.1916
Stenotrophomonas maltophilia,Ureaplasma urealyticum,0.2879
Stenotrophomonas maltophilia,Cutibacterium acnes,0.2478
Stenotrophomonas maltophilia,Listeria monocytogenes,0.251
Stenotrophomonas maltophilia,Enterococcus faecium,0.2565
Stenotrophomonas maltophilia,Enterobacter aerogenes,0.2044
Stenotrophomonas maltophilia,E. cloacae,0.1749
Stenotrophomonas maltophilia,Acinetobacter baumannii,0.1583
Stenotrophomonas maltophilia,Streptococcus hemolyticus,0.2446
Stenotrophomonas maltophilia,Proteus mirabilis,0.1605
Stenotrophomonas maltophilia,Burkholderia pseudomallei,0.2436
Stenotrophomonas maltophilia,C. difficile,0.2599
Stenotrophomonas maltophilia,Staphylococcus epidermidis,0.251
Stenotrophomonas maltophilia,Pseudomonas aeruginosa,0.2406
Stenotrophomonas maltophilia,Streptococcus agalactiae,0.2603
Stenotrophomonas maltophilia,Morganella morganii,0.17
Stenotrophomonas maltophilia,Kingella kingae,0.1723
Stenotrophomonas maltophilia,Eikenella corrodens,0.2164
Stenotrophomonas maltophilia,Cardiobacterium hominis,0.1985
Stenotrophomonas maltophilia,Aggregatibacter actinomycetemcomitans,0.1823
Stenotrophomonas maltophilia,Haemophilus parainfluenzae,0.1858
Stenotrophomonas maltophilia,Enterococcus faecalis,0.2513
Stenotrophomonas maltophilia,G Streptococcus,0.2591
Stenotrophomonas maltophilia,Salmonella enterica,0.178
Stenotrophomonas maltophilia,Shigella dysenteriae,0.1989
Stenotrophomonas maltophilia,Staphylococcus lugdunensis,0.2507
Stenotrophomonas maltophilia,Staphylococcus saprophyticus,0.2502
Stenotrophomonas maltophilia,Chlamydophila pneumoniae,0.3033
Stenotrophomonas maltophilia,Mycoplasma pneumoniae,0.268
Stenotrophomonas maltophilia,Gardnerella vaginalis,0.248
Stenotrophomonas maltophilia,Campylobacter spp,0.2619
Stenotrophomonas maltophilia,Legionella pneumophila,0.1724
Stenotrophomonas maltophilia,Clostridium septicum,0.2594
Stenotrophomonas maltophilia,Clostridium perfringens,0.2641
Stenotrophomonas maltophilia,C. trachomatis,0.2774
Stenotrophomonas maltophilia,Prevotella bivia,0.2537
Stenotrophomonas maltophilia,Streptococcus pyogenes,0.2446
Stenotrophomonas maltophilia,Neisseria meningitidis,0.1698
Stenotrophomonas maltophilia,S. ParatyphiA,0.178
Stenotrophomonas maltophilia,S.Typhi,0.178
Stenotrophomonas maltophilia,Klebsiella pneumoniae,0.208
Stenotrophomonas maltophilia,E. coli,0.1944
Stenotrophomonas maltophilia,Neisseria gonorrhoeae,0.1827
Stenotrophomonas maltophilia,Staphylococcus aureus,0.2498
Stenotrophomonas maltophilia,Brucella melitensis,0.2195
Stenotrophomonas maltophilia,Brucella abortus,0.233
Stenotrophomonas maltophilia,Moraxella catarrhalis,0.17
Stenotrophomonas maltophilia,Haemophilus influenzae,0.1805
Stenotrophomonas maltophilia,Streptococcus pneumoniae,0.2599
Stenotrophomonas maltophilia,V. cholerae,0.1744
Enterobacter aerogenes,Enterobacter aerogenes,0
Enterobacter aerogenes,Enterobacter agglomerans,0.2128
Enterobacter aerogenes,Enterobacter gergoviae,0.1922
Enterobacter aerogenes,Mycobacterium fortuitum,0.2411
Enterobacter aerogenes,M. abscessus,0.2337
Enterobacter aerogenes,Staphylococcus intermedius,0.2386
Enterobacter aerogenes,Streptococcus constellatus,0.2449
Enterobacter aerogenes,Streptococcus anginosus,0.2447
Enterobacter aerogenes,Streptobacillus moniliformis,0.2864
Enterobacter aerogenes,Spirillum minus,0.2864
Enterobacter aerogenes,Capnocytophaga canimorsus,0.2604
Enterobacter aerogenes,Pasteurella multocida,0.1843
Enterobacter aerogenes,Ureaplasma urealyticum,0.2941
Enterobacter aerogenes,Cutibacterium acnes,0.2465
Enterobacter aerogenes,Listeria monocytogenes,0.2445
Enterobacter aerogenes,Enterococcus faecium,0.2627
Enterobacter aerogenes,Stenotrophomonas maltophilia,0.2044
Enterobacter aerogenes,E. cloacae,0.1926
Enterobacter aerogenes,Acinetobacter baumannii,0.1548
Enterobacter aerogenes,Streptococcus hemolyticus,0.2406
Enterobacter aerogenes,Proteus mirabilis,0.188
Enterobacter aerogenes,Burkholderia pseudomallei,0.1963
Enterobacter aerogenes,C. difficile,0.2655
Enterobacter aerogenes,Staphylococcus epidermidis,0.2392
Enterobacter aerogenes,Pseudomonas aeruginosa,0.2154
Enterobacter aerogenes,Streptococcus agalactiae,0.2438
Enterobacter aerogenes,Morganella morganii,0.2067
Enterobacter aerogenes,Kingella kingae,0.1875
Enterobacter aerogenes,Eikenella corrodens,0.1941
Enterobacter aerogenes,Cardiobacterium hominis,0.1857
Enterobacter aerogenes,Aggregatibacter actinomycetemcomitans,0.1794
Enterobacter aerogenes,Haemophilus parainfluenzae,0.1569
Enterobacter aerogenes,Enterococcus faecalis,0.2607
Enterobacter aerogenes,G Streptococcus,0.2412
Enterobacter aerogenes,Salmonella enterica,0.1906
Enterobacter aerogenes,Shigella dysenteriae,0.1949
Enterobacter aerogenes,Staphylococcus lugdunensis,0.2397
Enterobacter aerogenes,Staphylococcus saprophyticus,0.2414
Enterobacter aerogenes,Chlamydophila pneumoniae,0.2604
Enterobacter aerogenes,Mycoplasma pneumoniae,0.3003
Enterobacter aerogenes,Gardnerella vaginalis,0.2544
Enterobacter aerogenes,Campylobacter spp,0.259
Enterobacter aerogenes,Legionella pneumophila,0.1626
Enterobacter aerogenes,Clostridium septicum,0.2667
Enterobacter aerogenes,Clostridium perfringens,0.2632
Enterobacter aerogenes,C. trachomatis,0.251
Enterobacter aerogenes,Prevotella bivia,0.2731
Enterobacter aerogenes,Streptococcus pyogenes,0.2406
Enterobacter aerogenes,Neisseria meningitidis,0.2035
Enterobacter aerogenes,S. ParatyphiA,0.1906
Enterobacter aerogenes,S.Typhi,0.1906
Enterobacter aerogenes,Klebsiella pneumoniae,0.1433
Enterobacter aerogenes,E. coli,0.1948
Enterobacter aerogenes,Neisseria gonorrhoeae,0.2011
Enterobacter aerogenes,Staphylococcus aureus,0.2388
Enterobacter aerogenes,Brucella melitensis,0.2078
Enterobacter aerogenes,Brucella abortus,0.2089
Enterobacter aerogenes,Moraxella catarrhalis,0.1659
Enterobacter aerogenes,Haemophilus influenzae,0.1481
Enterobacter aerogenes,Streptococcus pneumoniae,0.2486
Enterobacter aerogenes,V. cholerae,0.1784
E. cloacae,E. cloacae,0
E. cloacae,Enterobacter agglomerans,0.2141
E. cloacae,Enterobacter gergoviae,0.2001
E. cloacae,Mycobacterium fortuitum,0.2404
E. cloacae,M. abscessus,0.233
E. cloacae,Staphylococcus intermedius,0.2391
E. cloacae,Streptococcus constellatus,0.2406
E. cloacae,Streptococcus anginosus,0.2402
E. cloacae,Streptobacillus moniliformis,0.283
E. cloacae,Spirillum minus,0.283
E. cloacae,Capnocytophaga canimorsus,0.2573
E. cloacae,Pasteurella multocida,0.1717
E. cloacae,Ureaplasma urealyticum,0.2946
E. cloacae,Cutibacterium acnes,0.2449
E. cloacae,Listeria monocytogenes,0.2412
E. cloacae,Enterococcus faecium,0.2584
E. cloacae,Stenotrophomonas maltophilia,0.1749
E. cloacae,Enterobacter aerogenes,0.1926
E. cloacae,Acinetobacter baumannii,0.1659
E. cloacae,Streptococcus hemolyticus,0.237
E. cloacae,Proteus mirabilis,0.1731
E. cloacae,Burkholderia pseudomallei,0.1906
E. cloacae,C. difficile,0.2652
E. cloacae,Staphylococcus epidermidis,0.2572
E. cloacae,Pseudomonas aeruginosa,0.2068
E. cloacae,Streptococcus agalactiae,0.2371
E. cloacae,Morganella morganii,0.2071
E. cloacae,Kingella kingae,0.1848
E. cloacae,Eikenella corrodens,0.1868
E. cloacae,Cardiobacterium hominis,0.1796
E. cloacae,Aggregatibacter actinomycetemcomitans,0.178
E. cloacae,Haemophilus parainfluenzae,0.1643
E. cloacae,Enterococcus faecalis,0.2552
E. cloacae,G Streptococcus,0.234
E. cloacae,Salmonella enterica,0.1934
E. cloacae,Shigella dysenteriae,0.1935
E. cloacae,Staphylococcus lugdunensis,0.2461
E. cloacae,Staphylococcus saprophyticus,0.239
E. cloacae,Chlamydophila pneumoniae,0.2591
E. cloacae,Mycoplasma pneumoniae,0.3018
E. cloacae,Gardnerella vaginalis,0.2578
E. cloacae,Campylobacter spp,0.2631
E. cloacae,Legionella pneumophila,0.1593
E. cloacae,Clostridium septicum,0.2614
E. cloacae,Clostridium perfringens,0.2628
E. cloacae,C. trachomatis,0.258
E. cloacae,Prevotella bivia,0.2648
E. cloacae,Streptococcus pyogenes,0.237
E. cloacae,Neisseria meningitidis,0.1878
E. cloacae,S. ParatyphiA,0.1934
E. cloacae,S.Typhi,0.1934
E. cloacae,Klebsiella pneumoniae,0.1901
E. cloacae,E. coli,0.1938
E. cloacae,Neisseria gonorrhoeae,0.1781
E. cloacae,Staphylococcus aureus,0.2351
E. cloacae,Brucella melitensis,0.212
E. cloacae,Brucella abortus,0.2121
E. cloacae,Moraxella catarrhalis,0.1662
E. cloacae,Haemophilus influenzae,0.1409
E. cloacae,Streptococcus pneumoniae,0.2394
E. cloacae,V. cholerae,0.1881
Acinetobacter baumannii,Acinetobacter baumannii,0
Acinetobacter baumannii,Enterobacter agglomerans,0.1591
Acinetobacter baumannii,Enterobacter gergoviae,0.1516
Acinetobacter baumannii,Mycobacterium fortuitum,0.242
Acinetobacter baumannii,M. abscessus,0.2329
Acinetobacter baumannii,Staphylococcus intermedius,0.2388
Acinetobacter baumannii,Streptococcus constellatus,0.2345
Acinetobacter baumannii,Streptococcus anginosus,0.2364
Acinetobacter baumannii,Streptobacillus moniliformis,0.2647
Acinetobacter baumannii,Spirillum minus,0.2647
Acinetobacter baumannii,Capnocytophaga canimorsus,0.2444
Acinetobacter baumannii,Pasteurella multocida,0.1948
Acinetobacter baumannii,Ureaplasma urealyticum,0.2853
Acinetobacter baumannii,Cutibacterium acnes,0.2497
Acinetobacter baumannii,Listeria monocytogenes,0.2383
Acinetobacter baumannii,Enterococcus faecium,0.2516
Acinetobacter baumannii,Stenotrophomonas maltophilia,0.1583
Acinetobacter baumannii,Enterobacter aerogenes,0.1548
Acinetobacter baumannii,E. cloacae,0.1659
Acinetobacter baumannii,Streptococcus hemolyticus,0.2308
Acinetobacter baumannii,Proteus mirabilis,0.1633
Acinetobacter baumannii,Burkholderia pseudomallei,0.1759
Acinetobacter baumannii,C. difficile,0.2563
Acinetobacter baumannii,Staphylococcus epidermidis,0.2367
Acinetobacter baumannii,Pseudomonas aeruginosa,0.1308
Acinetobacter baumannii,Streptococcus agalactiae,0.2333
Acinetobacter baumannii,Morganella morganii,0.161
Acinetobacter baumannii,Kingella kingae,0.1865
Acinetobacter baumannii,Eikenella corrodens,0.1813
Acinetobacter baumannii,Cardiobacterium hominis,0.1551
Acinetobacter baumannii,Aggregatibacter actinomycetemcomitans,0.1816
Acinetobacter baumannii,Haemophilus parainfluenzae,0.2197
Acinetobacter baumannii,Enterococcus faecalis,0.2499
Acinetobacter baumannii,G Streptococcus,0.2291
Acinetobacter baumannii,Salmonella enterica,0.1529
Acinetobacter baumannii,Shigella dysenteriae,0.1598
Acinetobacter baumannii,Staphylococcus lugdunensis,0.2412
Acinetobacter baumannii,Staphylococcus saprophyticus,0.2404
Acinetobacter baumannii,Chlamydophila pneumoniae,0.2916
Acinetobacter baumannii,Mycoplasma pneumoniae,0.2615
Acinetobacter baumannii,Gardnerella vaginalis,0.2527
Acinetobacter baumannii,Campylobacter spp,0.253
Acinetobacter baumannii,Legionella pneumophila,0.1618
Acinetobacter baumannii,Clostridium septicum,0.2536
Acinetobacter baumannii,Clostridium perfringens,0.2577
Acinetobacter baumannii,C. trachomatis,0.2722
Acinetobacter baumannii,Prevotella bivia,0.2798
Acinetobacter baumannii,Streptococcus pyogenes,0.2308
Acinetobacter baumannii,Neisseria meningitidis,0.1788
Acinetobacter baumannii,S. ParatyphiA,0.1529
Acinetobacter baumannii,S.Typhi,0.1529
Acinetobacter baumannii,Klebsiella pneumoniae,0.1556
Acinetobacter baumannii,E. coli,0.1598
Acinetobacter baumannii,Neisseria gonorrhoeae,0.1843
Acinetobacter baumannii,Staphylococcus aureus,0.2371
Acinetobacter baumannii,Brucella melitensis,0.1977
Acinetobacter baumannii,Brucella abortus,0.1997
Acinetobacter baumannii,Moraxella catarrhalis,0.1653
Acinetobacter baumannii,Haemophilus influenzae,0.203
Acinetobacter baumannii,Streptococcus pneumoniae,0.2344
Acinetobacter baumannii,V. cholerae,0.1593
Streptococcus hemolyticus,Streptococcus hemolyticus,0
Streptococcus hemolyticus,Enterobacter agglomerans,0.2408
Streptococcus hemolyticus,Enterobacter gergoviae,0.2385
Streptococcus hemolyticus,Mycobacterium fortuitum,0.2234
Streptococcus hemolyticus,M. abscessus,0.2219
Streptococcus hemolyticus,Staphylococcus intermedius,0.1645
Streptococcus hemolyticus,Streptococcus constellatus,0.1707
Streptococcus hemolyticus,Streptococcus anginosus,0.1743
Streptococcus hemolyticus,Streptobacillus moniliformis,0.2496
Streptococcus hemolyticus,Spirillum minus,0.2496
Streptococcus hemolyticus,Capnocytophaga canimorsus,0.2192
Streptococcus hemolyticus,Pasteurella multocida,0.2621
Streptococcus hemolyticus,Ureaplasma urealyticum,0.2589
Streptococcus hemolyticus,Cutibacterium acnes,0.229
Streptococcus hemolyticus,Listeria monocytogenes,0.158
Streptococcus hemolyticus,Enterococcus faecium,0.136
Streptococcus hemolyticus,Stenotrophomonas maltophilia,0.2446
Streptococcus hemolyticus,Enterobacter aerogenes,0.2406
Streptococcus hemolyticus,E. cloacae,0.237
Streptococcus hemolyticus,Acinetobacter baumannii,0.2308
Streptococcus hemolyticus,Proteus mirabilis,0.2394
Streptococcus hemolyticus,Burkholderia pseudomallei,0.2536
Streptococcus hemolyticus,C. difficile,0.2058
Streptococcus hemolyticus,Staphylococcus epidermidis,0.1673
Streptococcus hemolyticus,Pseudomonas aeruginosa,0.2319
Streptococcus hemolyticus,Streptococcus agalactiae,0.1502
Streptococcus hemolyticus,Morganella morganii,0.2462
Streptococcus hemolyticus,Kingella kingae,0.2523
Streptococcus hemolyticus,Eikenella corrodens,0.2475
Streptococcus hemolyticus,Cardiobacterium hominis,0.2424
Streptococcus hemolyticus,Aggregatibacter actinomycetemcomitans,0.251
Streptococcus hemolyticus,Haemophilus parainfluenzae,0.2552
Streptococcus hemolyticus,Enterococcus faecalis,0.1496
Streptococcus hemolyticus,G Streptococcus,0.1404
Streptococcus hemolyticus,Salmonella enterica,0.2376
Streptococcus hemolyticus,Shigella dysenteriae,0.2388
Streptococcus hemolyticus,Staphylococcus lugdunensis,0.1847
Streptococcus hemolyticus,Staphylococcus saprophyticus,0.1723
Streptococcus hemolyticus,Chlamydophila pneumoniae,0.2788
Streptococcus hemolyticus,Mycoplasma pneumoniae,0.2583
Streptococcus hemolyticus,Gardnerella vaginalis,0.2399
Streptococcus hemolyticus,Campylobacter spp,0.2616
Streptococcus hemolyticus,Legionella pneumophila,0.25
Streptococcus hemolyticus,Clostridium septicum,0.2062
Streptococcus hemolyticus,Clostridium perfringens,0.2068
Streptococcus hemolyticus,C. trachomatis,0.2691
Streptococcus hemolyticus,Prevotella bivia,0.2638
Streptococcus hemolyticus,Streptococcus pyogenes,0
Streptococcus hemolyticus,Neisseria meningitidis,0.2459
Streptococcus hemolyticus,S. ParatyphiA,0.2376
Streptococcus hemolyticus,S.Typhi,0.2376
Streptococcus hemolyticus,Klebsiella pneumoniae,0.2412
Streptococcus hemolyticus,E. coli,0.239
Streptococcus hemolyticus,Neisseria gonorrhoeae,0.2446
Streptococcus hemolyticus,Staphylococcus aureus,0.1794
Streptococcus hemolyticus,Brucella melitensis,0.2243
Streptococcus hemolyticus,Brucella abortus,0.2241
Streptococcus hemolyticus,Moraxella catarrhalis,0.2352
Streptococcus hemolyticus,Haemophilus influenzae,0.25
Streptococcus hemolyticus,Streptococcus pneumoniae,0.1536
Streptococcus hemolyticus,V. cholerae,0.2409
Proteus mirabilis,Proteus mirabilis,0
Proteus mirabilis,Enterobacter agglomerans,0.176
Proteus mirabilis,Enterobacter gergoviae,0.1825
Proteus mirabilis,Mycobacterium fortuitum,0.237
Proteus mirabilis,M. abscessus,0.2404
Proteus mirabilis,Staphylococcus intermedius,0.2507
Proteus mirabilis,Streptococcus constellatus,0.2479
Proteus mirabilis,Streptococcus anginosus,0.2434
Proteus mirabilis,Streptobacillus moniliformis,0.2805
Proteus mirabilis,Spirillum minus,0.2805
Proteus mirabilis,Capnocytophaga canimorsus,0.2434
Proteus mirabilis,Pasteurella multocida,0.195
Proteus mirabilis,Ureaplasma urealyticum,0.2832
Proteus mirabilis,Cutibacterium acnes,0.2441
Proteus mirabilis,Listeria monocytogenes,0.2477
Proteus mirabilis,Enterococcus faecium,0.2503
Proteus mirabilis,Stenotrophomonas maltophilia,0.1605
Proteus mirabilis,Enterobacter aerogenes,0.188
Proteus mirabilis,E. cloacae,0.1731
Proteus mirabilis,Acinetobacter baumannii,0.1633
Proteus mirabilis,Streptococcus hemolyticus,0.2394
Proteus mirabilis,Burkholderia pseudomallei,0.1828
Proteus mirabilis,C. difficile,0.2562
Proteus mirabilis,Staphylococcus epidermidis,0.2544
Proteus mirabilis,Pseudomonas aeruginosa,0.1487
Proteus mirabilis,Streptococcus agalactiae,0.2449
Proteus mirabilis,Morganella morganii,0.208
Proteus mirabilis,Kingella kingae,0.1864
Proteus mirabilis,Eikenella corrodens,0.1736
Proteus mirabilis,Cardiobacterium hominis,0.1675
Proteus mirabilis,Aggregatibacter actinomycetemcomitans,0.1873
Proteus mirabilis,Haemophilus parainfluenzae,0.2035
Proteus mirabilis,Enterococcus faecalis,0.2534
Proteus mirabilis,G Streptococcus,0.2386
Proteus mirabilis,Salmonella enterica,0.1761
Proteus mirabilis,Shigella dysenteriae,0.1745
Proteus mirabilis,Staphylococcus lugdunensis,0.2622
Proteus mirabilis,Staphylococcus saprophyticus,0.2621
Proteus mirabilis,Chlamydophila pneumoniae,0.2957
Proteus mirabilis,Mycoplasma pneumoniae,0.2718
Proteus mirabilis,Gardnerella vaginalis,0.2578
Proteus mirabilis,Campylobacter spp,0.2543
Proteus mirabilis,Legionella pneumophila,0.1559
Proteus mirabilis,Clostridium septicum,0.2577
Proteus mirabilis,Clostridium perfringens,0.2574
Proteus mirabilis,C. trachomatis,0.2511
Proteus mirabilis,Prevotella bivia,0.2872
Proteus mirabilis,Streptococcus pyogenes,0.2394
Proteus mirabilis,Neisseria meningitidis,0.1827
Proteus mirabilis,S. ParatyphiA,0.1761
Proteus mirabilis,S.Typhi,0.1761
Proteus mirabilis,Klebsiella pneumoniae,0.1775
Proteus mirabilis,E. coli,0.1698
Proteus mirabilis,Neisseria gonorrhoeae,0.1835
Proteus mirabilis,Staphylococcus aureus,0.2582
Proteus mirabilis,Brucella melitensis,0.2122
Proteus mirabilis,Brucella abortus,0.2122
Proteus mirabilis,Moraxella catarrhalis,0.1708
Proteus mirabilis,Haemophilus influenzae,0.1819
Proteus mirabilis,Streptococcus pneumoniae,0.2455
Proteus mirabilis,V. cholerae,0.1806
Burkholderia pseudomallei,Burkholderia pseudomallei,0
Burkholderia pseudomallei,Enterobacter agglomerans,0.1882
Burkholderia pseudomallei,Enterobacter gergoviae,0.2263
Burkholderia pseudomallei,Mycobacterium fortuitum,0.2658
Burkholderia pseudomallei,M. abscessus,0.2446
Burkholderia pseudomallei,Staphylococcus intermedius,0.255
Burkholderia pseudomallei,Streptococcus constellatus,0.2508
Burkholderia pseudomallei,Streptococcus anginosus,0.2453
Burkholderia pseudomallei,Streptobacillus moniliformis,0.2495
Burkholderia pseudomallei,Spirillum minus,0.2495
Burkholderia pseudomallei,Capnocytophaga canimorsus,0.2323
Burkholderia pseudomallei,Pasteurella multocida,0.2024
Burkholderia pseudomallei,Ureaplasma urealyticum,0.286
Burkholderia pseudomallei,Cutibacterium acnes,0.249
Burkholderia pseudomallei,Listeria monocytogenes,0.2433
Burkholderia pseudomallei,Enterococcus faecium,0.2313
Burkholderia pseudomallei,Stenotrophomonas maltophilia,0.2436
Burkholderia pseudomallei,Enterobacter aerogenes,0.1963
Burkholderia pseudomallei,E. cloacae,0.1906
Burkholderia pseudomallei,Acinetobacter baumannii,0.1759
Burkholderia pseudomallei,Streptococcus hemolyticus,0.2536
Burkholderia pseudomallei,Proteus mirabilis,0.1828
Burkholderia pseudomallei,C. difficile,0.2662
Burkholderia pseudomallei,Staphylococcus epidermidis,0.2587
Burkholderia pseudomallei,Pseudomonas aeruginosa,0.2497
Burkholderia pseudomallei,Streptococcus agalactiae,0.2491
Burkholderia pseudomallei,Morganella morganii,0.1879
Burkholderia pseudomallei,Kingella kingae,0.1634
Burkholderia pseudomallei,Eikenella corrodens,0.1693
Burkholderia pseudomallei,Cardiobacterium hominis,0.21
Burkholderia pseudomallei,Aggregatibacter actinomycetemcomitans,0.195
Burkholderia pseudomallei,Haemophilus parainfluenzae,0.1924
Burkholderia pseudomallei,Enterococcus faecalis,0.2585
Burkholderia pseudomallei,G Streptococcus,0.248
Burkholderia pseudomallei,Salmonella enterica,0.2018
Burkholderia pseudomallei,Shigella dysenteriae,0.1953
Burkholderia pseudomallei,Staphylococcus lugdunensis,0.2545
Burkholderia pseudomallei,Staphylococcus saprophyticus,0.2486
Burkholderia pseudomallei,Chlamydophila pneumoniae,0.2898
Burkholderia pseudomallei,Mycoplasma pneumoniae,0.2623
Burkholderia pseudomallei,Gardnerella vaginalis,0.2562
Burkholderia pseudomallei,Campylobacter spp,0.2531
Burkholderia pseudomallei,Legionella pneumophila,0.1796
Burkholderia pseudomallei,Clostridium septicum,0.2694
Burkholderia pseudomallei,Clostridium perfringens,0.261
Burkholderia pseudomallei,C. trachomatis,0.2954
Burkholderia pseudomallei,Prevotella bivia,0.2381
Burkholderia pseudomallei,Streptococcus pyogenes,0.2536
Burkholderia pseudomallei,Neisseria meningitidis,0.1636
Burkholderia pseudomallei,S. ParatyphiA,0.2018
Burkholderia pseudomallei,S.Typhi,0.2018
Burkholderia pseudomallei,Klebsiella pneumoniae,0.1978
Burkholderia pseudomallei,E. coli,0.2076
Burkholderia pseudomallei,Neisseria gonorrhoeae,0.1658
Burkholderia pseudomallei,Staphylococcus aureus,0.2595
Burkholderia pseudomallei,Brucella melitensis,0.2231
Burkholderia pseudomallei,Brucella abortus,0.2225
Burkholderia pseudomallei,Moraxella catarrhalis,0.1974
Burkholderia pseudomallei,Haemophilus influenzae,0.1904
Burkholderia pseudomallei,Streptococcus pneumoniae,0.2576
Burkholderia pseudomallei,V. cholerae,0.1849
C. difficile,C. difficile,0
C. difficile,Enterobacter agglomerans,0.2736
C. difficile,Enterobacter gergoviae,0.2626
C. difficile,Mycobacterium fortuitum,0.2111
C. difficile,M. abscessus,0.2016
C. difficile,Staphylococcus intermedius,0.1976
C. difficile,Streptococcus constellatus,0.2091
C. difficile,Streptococcus anginosus,0.2099
C. difficile,Streptobacillus moniliformis,0.2546
C. difficile,Spirillum minus,0.2546
C. difficile,Capnocytophaga canimorsus,0.2299
C. difficile,Pasteurella multocida,0.2656
C. difficile,Ureaplasma urealyticum,0.2673
C. difficile,Cutibacterium acnes,0.2241
C. difficile,Listeria monocytogenes,0.1923
C. difficile,Enterococcus faecium,0.1918
C. difficile,Stenotrophomonas maltophilia,0.2599
C. difficile,Enterobacter aerogenes,0.2655
C. difficile,E. cloacae,0.2652
C. difficile,Acinetobacter baumannii,0.2563
C. difficile,Streptococcus hemolyticus,0.2058
C. difficile,Proteus mirabilis,0.2562
C. difficile,Burkholderia pseudomallei,0.2662
C. difficile,Staphylococcus epidermidis,0.1944
C. difficile,Pseudomonas aeruginosa,0.2523
C. difficile,Streptococcus agalactiae,0.2061
C. difficile,Morganella morganii,0.2639
C. difficile,Kingella kingae,0.2516
C. difficile,Eikenella corrodens,0.2469
C. difficile,Cardiobacterium hominis,0.2514
C. difficile,Aggregatibacter actinomycetemcomitans,0.2512
C. difficile,Haemophilus parainfluenzae,0.2487
C. difficile,Enterococcus faecalis,0.1935
